rating_id,user_id,restaurant_id,rating,comment
1,8,7,4.6,Knowledge technology window will act write.
2,4,1,4.5,Race where just magazine TV soon lay data.
3,11,4,4.6,Edge until hard.
4,49,8,4.7,Whole offer physical according.
5,18,4,3.9,Pm ever purpose above big least.
6,9,9,4.3,Worry per thank through.
7,1,1,3.5,Because really citizen question.
8,42,1,4.1,Join huge newspaper can.
9,38,4,3.2,However whether sense happy next from remain.
10,22,9,3.7,Really garden sell billion discover.
11,17,9,4.9,Great staff do majority have.
12,46,2,3.3,Color college again.
13,8,2,3.4,Over letter service back strategy.
14,42,5,4.6,Their call send parent piece.
15,42,10,3.3,Mention wind upon unit full leg.
16,37,4,3.5,School hand show girl edge street hot.
17,48,7,4.3,Attack Republican boy tax home rich.
18,5,2,3.6,Series tell when network response hour possible reveal.
19,13,5,3.5,Word evening beat use tell positive another.
20,38,6,3.9,Suffer they fall buy ask.
21,22,10,4.0,Then computer point you write after gas eight.
22,8,8,4.3,Catch if need about answer national beautiful value.
23,28,1,4.5,President write become history her.
24,8,1,3.1,Yeah keep try actually ball option return care.
25,40,7,3.5,Level strategy between speak appear five.
26,12,4,3.4,Generation staff light tell major white.
27,43,3,3.2,Bit approach six trip look more.
28,45,10,3.8,Owner reason you hard site could.
29,32,3,3.4,Green yes memory field.
30,49,6,3.5,Toward ground attack result from glass.
31,30,7,4.3,Model lead outside eye.
32,22,3,4.9,Pattern less American commercial option.
33,21,3,4.8,Painting development front street evidence.
34,49,5,4.9,Water note yes arm position cover process.
35,18,4,3.1,Worker investment child military.
36,16,9,4.3,Gas ability pass west notice.
37,28,1,4.9,Box staff education federal well.
38,4,5,4.4,Analysis fly eat public old out up.
39,4,6,4.0,Cold so local against pattern skin.
40,24,1,4.8,Themselves civil miss next.
